,pclass,sex,age,sibsp,parch,family_size,fare,embarked,survived
136,1,1,42.0,1,0,1,52.5542,0,1
137,1,0,45.0,1,0,1,52.5542,0,1
138,1,0,49.0,0,0,0,25.9292,0,1
139,1,1,35.0,0,0,0,512.3292,1,1
140,1,0,16.0,0,1,1,39.4,0,1
141,1,0,51.0,0,1,1,39.4,0,1
142,1,1,29.0,0,0,0,30.0,0,0
143,1,0,21.0,0,0,0,77.9583,0,1
144,1,0,58.0,0,0,0,146.5208,1,1
145,1,0,15.0,0,1,1,211.3375,0,1
146,1,1,30.0,0,0,0,26.0,0,0
147,1,0,16.0,0,0,0,86.5,0,1
148,1,1,19.0,1,0,1,53.1,0,0
149,1,0,18.0,1,0,1,53.1,0,1
150,1,0,24.0,0,0,0,49.5042,1,1
151,1,1,46.0,0,0,0,75.2417,1,0
152,1,1,54.0,0,0,0,51.8625,0,0
153,1,1,36.0,0,0,0,26.2875,0,1
154,1,1,65.0,0,0,0,26.55,0,0
155,1,1,44.0,2,0,2,90.0,2,0
156,1,0,33.0,1,0,1,90.0,2,1
157,1,0,37.0,1,0,1,90.0,2,1
158,1,1,30.0,1,0,1,57.75,1,1
159,1,1,55.0,0,0,0,30.5,0,0
160,1,1,37.0,0,1,1,29.7,1,0
161,1,0,31.0,1,0,1,113.275,1,1
162,1,0,23.0,1,0,1,113.275,1,1
163,1,1,58.0,0,2,2,113.275,1,0
164,1,0,19.0,0,2,2,26.2833,0,1
165,1,0,39.0,0,0,0,108.9,1,1
166,1,0,22.0,0,1,1,61.9792,1,1
167,1,1,65.0,0,1,1,61.9792,1,0
168,1,1,28.5,0,0,0,27.7208,1,0
169,1,1,45.5,0,0,0,28.5,0,0
170,1,1,23.0,0,0,0,93.5,0,0
171,1,1,29.0,1,0,1,66.6,0,0
172,1,0,22.0,1,0,1,66.6,0,1
173,1,1,18.0,1,0,1,108.9,1,0
174,1,0,17.0,1,0,1,108.9,1,1
175,1,0,30.0,0,0,0,93.5,0,1
176,1,1,52.0,0,0,0,30.5,0,1
177,1,1,47.0,0,0,0,52.0,0,0
178,1,0,56.0,0,1,1,83.1583,1,1
179,1,0,43.0,0,1,1,211.3375,0,1
180,1,1,31.0,0,0,0,50.4958,0,0
181,1,0,33.0,0,0,0,27.7208,1,1
182,1,1,36.0,0,0,0,40.125,1,0
183,1,0,33.0,0,0,0,86.5,0,1
184,1,1,13.0,2,2,4,262.375,1,1
185,1,0,18.0,2,2,4,262.375,1,1
186,1,0,21.0,2,2,4,262.375,1,1
187,1,1,61.0,1,3,4,262.375,1,0
188,1,0,48.0,1,3,4,262.375,1,1
189,1,0,24.0,0,0,0,69.3,1,1
190,1,0,35.0,1,0,1,57.75,1,1
191,1,0,40.0,0,0,0,153.4625,0,1
192,1,1,35.0,0,0,0,26.2875,0,1
193,1,1,50.0,1,0,1,55.9,0,0
194,1,0,39.0,1,0,1,55.9,0,1
195,1,1,56.0,0,0,0,35.5,1,1
196,1,1,28.0,0,0,0,35.5,0,1
197,1,1,56.0,0,0,0,30.6958,1,0
198,1,1,24.0,1,0,1,60.0,0,0
199,1,0,18.0,1,0,1,60.0,0,1
200,1,1,24.0,1,0,1,82.2667,0,1
201,1,0,23.0,1,0,1,82.2667,0,1
202,1,1,6.0,0,2,2,134.5,1,1
203,1,1,45.0,1,1,2,134.5,1,1
204,1,0,40.0,1,1,2,134.5,1,1
205,1,1,57.0,1,0,1,146.5208,1,0
206,1,1,32.0,0,0,0,30.5,1,1
207,1,1,62.0,0,0,0,26.55,0,0
208,1,1,54.0,1,0,1,55.4417,1,1
209,1,0,43.0,1,0,1,55.4417,1,1
210,1,0,52.0,1,0,1,78.2667,1,1
211,1,1,67.0,1,0,1,221.7792,0,0
212,1,0,63.0,1,0,1,221.7792,0,0
213,1,1,61.0,0,0,0,32.3208,0,0
214,1,0,48.0,0,0,0,25.9292,0,1
215,1,0,18.0,0,2,2,79.65,0,1
216,1,1,52.0,1,1,2,79.65,0,0
217,1,0,39.0,1,1,2,79.65,0,1
218,1,1,48.0,1,0,1,52.0,0,1
219,1,1,49.0,1,1,2,110.8833,1,0
220,1,1,17.0,0,2,2,110.8833,1,1
221,1,0,39.0,1,1,2,110.8833,1,1
222,1,1,31.0,0,0,0,28.5375,1,1
223,1,1,61.0,0,0,0,33.5,0,0
224,1,1,47.0,0,0,0,34.0208,0,0
225,1,1,64.0,1,0,1,75.25,1,0
226,1,0,60.0,1,0,1,75.25,1,1
227,1,1,54.0,0,1,1,77.2875,0,0
228,1,1,21.0,0,1,1,77.2875,0,0
229,1,0,55.0,0,0,0,135.6333,1,1
230,1,0,31.0,0,2,2,164.8667,0,1
231,1,1,50.0,1,1,2,211.5,1,0
232,1,1,27.0,0,2,2,211.5,1,0
233,1,0,50.0,1,1,2,211.5,1,1
234,1,0,31.0,0,0,0,134.5,1,1
235,1,0,36.0,0,0,0,135.6333,1,1
236,2,0,36.0,0,0,0,13.0,0,1
237,2,1,1.0,2,1,3,39.0,0,1
238,2,0,4.0,2,1,3,39.0,0,1
239,2,0,12.0,2,1,3,39.0,0,1
240,2,0,36.0,0,3,3,39.0,0,1
241,2,1,34.0,0,0,0,13.0,0,1
242,2,0,24.0,0,0,0,13.0,0,1
243,2,0,22.0,0,0,0,10.5,0,1
244,2,0,23.0,0,0,0,13.7917,1,1
245,2,0,34.0,0,0,0,10.5,0,1
246,2,1,36.0,0,0,0,12.875,1,0
247,2,0,57.0,0,0,0,10.5,0,0
248,2,1,2.0,1,1,2,26.0,0,1
249,2,1,3.0,1,1,2,26.0,0,1
250,2,1,36.5,0,2,2,26.0,0,0
251,2,1,26.0,0,0,0,13.0,0,0
252,2,1,20.0,0,0,0,13.8625,1,1
253,2,0,29.0,0,0,0,10.5,0,1
254,2,1,18.5,0,0,0,13.0,0,0
255,2,0,27.0,0,0,0,10.5,0,1
256,2,0,32.5,0,0,0,13.0,0,1
257,3,1,25.0,0,0,0,7.65,0,1
258,3,1,42.0,0,0,0,7.65,0,0
259,3,1,25.0,0,0,0,7.2292,1,1
260,3,1,25.0,0,0,0,7.65,0,0
261,3,1,6.0,0,1,1,12.475,0,1
262,3,0,27.0,0,1,1,12.475,0,1
263,3,1,32.0,0,0,0,8.05,0,1
264,3,0,1.0,1,1,2,16.7,0,1
265,3,0,24.0,0,2,2,16.7,0,1
266,3,0,4.0,1,1,2,16.7,0,1
267,3,1,19.0,0,0,0,7.65,0,0
268,3,0,2.0,0,1,1,10.4625,0,0
269,3,0,29.0,1,1,2,10.4625,0,0
